invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,category_code,category_name,,month
RINV-04495800304,7/02/2023,2603,HY-VEE WINE AND SPIRITS / BETTENDORF,2890 DEVILS GLEN ROAD,BETTENDORF,52722,POINT(-90.48373 41.55236),,SCOTT,306,MISSISSIPPI RIVER DISTILLING COMPANY LLC,28131,CODY ROAD HONEY,6,750,17,25.5,-6,-153,-4.5,-1.18,1011100,BLENDED WHISKIES,,22023
INV-55758700081,10/02/2023,2613,HY-VEE FOOD STORE #1 / COUNCIL BLUFFS,2323 W BROADWAY,COUNCIL BLUFFS,51501,POINT(-95.87957 41.26193),,POTTAWATTAMIE,65,JIM BEAM BRANDS,24451,KESSLER BLEND WHISKEY MINI,12,50,5.4,8.1,1,8.1,0.05,0.01,1011100,BLENDED WHISKIES,,22023
INV-55969400075,17/02/2023,2551,HY-VEE FOOD STORE (1065) / CHARITON,2001 WEST COURT,CHARITON,50049,POINT(-93.32337 41.01456),,LUCAS,492,WESTERN SPIRITS BEVERAGE,26087,BIRD DOG HONEY FLAVORED WHISKEY MINI,6,50,5,7.5,1,7.5,0.05,0.01,1011100,BLENDED WHISKIES,,22023
INV-56015900008,20/02/2023,6262,"FAREWAY STORES, INC. #222 / ROCKWELL CITY",339 EAST HIGH STREET,ROCKWELL CITY,50579,POINT(-94.62577 42.39885),,CALHOUN,492,WESTERN SPIRITS BEVERAGE,26174,BIRD DOG PEANUT BUTTER FLAVORED WHISKEY MINI,6,50,5,7.5,1,7.5,0.05,0.01,1011100,BLENDED WHISKIES,,22023
INV-55631600073,7/02/2023,3723,J D SPIRITS LIQUOR,1023  9TH ST,ONAWA,51040,POINT(-96.09589 42.02584),,MONONA,492,WESTERN SPIRITS BEVERAGE,26176,BIRD DOG STRAWBERRY MINI,6,50,5,7.5,1,7.5,0.05,0.01,1011100,BLENDED WHISKIES,,22023
INV-56229700106,28/02/2023,2637,HY-VEE #5 / DAVENPORT,2351 W LOCUST,DAVENPORT,52804,POINT(-90.61251 41.53819),,SCOTT,65,JIM BEAM BRANDS,27680,JIM BEAM KENTUCKY FIRE MINI,12,50,7,10.5,1,10.5,0.05,0.01,1011100,BLENDED WHISKIES,,22023
INV-71265500002,17/06/2024,5006,KWIK STOP 16TH STREET #325,1210 E 16TH ST,DUBUQUE,52001,POINT(-90.655192039 42.511484005),,DUBUQUE,65,JIM BEAM BRANDS,24451,KESSLER BLEND WHISKEY MINI,12,50,5.4,8.1,1,8.1,0.05,0.01,1011100,BLENDED WHISKIES,,62024
INV-71624300035,26/06/2024,2647,HY-VEE #7 / CEDAR RAPIDS,5050 EDGEWOOD RD,CEDAR RAPIDS,52411,POINT(-91.698522983 42.029484381),,LINN,260,DIAGEO AMERICAS,25601,SEAGRAMS 7 CROWN MINI,12,50,6.17,9.26,1,9.26,0.05,0.01,1011100,BLENDED WHISKIES,,62024
INV-71083200004,11/06/2024,2636,HY-VEE WINE AND SPIRITS / HUBBELL,2310 HUBBELL AVE,DES MOINES,50317,POINT(-93.574113042 41.60463601),,POLK,492,WESTERN SPIRITS BEVERAGE,26160,BIRD DOG APPLE MINI,6,50,5,7.5,1,7.5,0.05,0.01,1011100,BLENDED WHISKIES,,62024
INV-71670800029,27/06/2024,10395,MALIK'S #3 / MASON CITY,1303 4TH ST SW,MASON CITY,50401,POINT(-93.221648984 43.14798901),,CERRO GORDO,492,WESTERN SPIRITS BEVERAGE,26176,BIRD DOG STRAWBERRY MINI,6,50,5,7.5,1,7.5,0.05,0.01,1011100,BLENDED WHISKIES,,62024
INV-71293500007,18/06/2024,4594,QUIK TRIP #554 / SW 63RD DM,901 SW 63RD ST,DES MOINES,50312,POINT(-93.702559003 41.569872988),,POLK,65,JIM BEAM BRANDS,27680,JIM BEAM KENTUCKY FIRE MINI,12,50,7,10.5,1,10.5,0.05,0.01,1011100,BLENDED WHISKIES,,62024
